id,xd_id,pref_name_for_society,glottocode,HRAF_name_ID,Sources,Pages
SCCS80,xd690,Vedda,vedd1240,Vedda (AX05),,
SCCS78,xd691,Nicobarese,carn1240,Nicobarese (AZ07),,
SCCS69,xd696,Garo,garo1247,Garo (AR05),,
SCCS71,xd709,Burmese,nucl1310,Burmans (AP04),,
SCCS70,xd710,Maras,mara1382,Mara (AR20),,
SCCS72,xd716,Lamet,lame1256,Rmeet (AM28),,
SCCS74,xd717,Rade,rade1240,Rhade (AM35),,
SCCS75,xd722,Ancient Khmer,oldk1249,Cambodians (AM04),,
SCCS82,xd723,Negri Sembilan,nege1240,Malays (AN05),,
SCCS77,xd725,Semang,kens1248,Semang (AN07),,
SCCS73,xd726,Annamese,viet1252,Vietnam (AM11),,
SCCS76,xd731,Thai,thai1261,Central Thai (AO07),,
SCCS113,xd732,Atayal,atay1247,Atayal (AD08),,
SCCS86,xd736,Badjau Tawi-Tawi,sout2918,Sama-Bajau (OA08),,
SCCS112,xd743,Ifugao,tuwa1243,Ifugao (OA19),,
SCCS85,xd750,Iban,iban1264,Iban (OC06),,
SCCS83,xd751,Javanese,java1254,Javanese (OE05),,
SCCS84,xd752,Balinese,bali1278,Bali (OF07),,
SCCS88,xd760,Tobelorese,tobe1252,Tobelo (OH18),,
SCCS89,xd764,Alorese,abui1241,Alorese (OF05),,
SCCS87,xd767,Toradja,pamo1252,Eastern Toraja (OG11),,
SCCS91,xd772,Northern Aranda,east2379,Aranda (OI08),,
SCCS90,xd778,Tiwi,tiwi1244,Tiwi (OI20),,
SCCS94,xd785,Mee,ekar1243,Kapauku (OJ29),,
SCCS95,xd788,Kwoma,kwom1262,Kwoma (OJ13),,
SCCS93,xd794,Kimam,kima1246,Kimam (OJ82),,
SCCS92,xd823,Orokaiva,orok1269,Orokaiva (OJ23),,
SCCS111,xd824,Palauans,pala1344,Belau (OR15),,
